ID,Starttidspunkt,Færdiggørelsestidspunkt,Mail,Navn,What is your gender?,What is your age?,What is your living situation?,Are you enrolled in an academic institute?,What kind of academic institute are you going to?,What academic degree are you currently pursuing?,Where is your home university located?,What is your current average grade?,What is the main reason you are studying?,What are your current studies?,How did your financial situation impact your choice of studies?,What would you have liked to study if money would not affect you?,Did your parents attend university?,How do you finance yourself/studies?,Do you have a job besides your studies?,What is the motivation for your work?,How many hours do you work a week?,What is your brutto monthly salary in euros?,"What is your average monthly income from all sources in euros? (Parents, Work, State, other)",Cash from support,"How often do you interact with your friends outside of university on a weekly basis? (Party, Resturant, Bar...)",Studying comes naturally to me.,I often feel stressed.,I like going to university.,University equals meeting my friends.,I have plenty of leisure time.,I would like to spend more time with my friends.,I am happy.
42,6.13.22 14:20:19,6.13.22 14:22:51,anonymous,,Female,23,Living with other people,Yes,Public,Bachelor,Germany,1.2,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Humanities,No,,None;,Working;Family;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;",20.Nov,501-1000,1001-1500,500,Once or twice a week,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Agree
44,6.13.22 15:58:18,6.13.22 16:05:35,anonymous,,Female,22,Living alone,Yes,Public,Bachelor,Germany,1.8,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I did not know what else to do;,Engineering,No,History,Father;,"State loan (BAFog, Student loan..);Family;Working;",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",10.Jan,,,0,,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral
45,6.13.22 16:19:27,6.13.22 16:21:43,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,1.1,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;Because I can see new cities and meet new places;Because it is a fun time;,Business,No,Business,None;,"Working;State loan (BAFog, Student loan..);Scholarships;",Yes,"Gain expertise and get experience in the field;To finance necessities (Food, studies, rent);",20.Nov,1001-1500,1501-2000,500,three to four days a week,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Agree
46,6.13.22 17:35:33,6.13.22 17:38:53,anonymous,,Male,24,Living with other people,Yes,Public,Bachelor,Germany,1.3,Because I can learn more about topics that interest me;Because I can see new cities and meet new places;Because it is a fun time;,Business,Yes,Medicine,None;,Working;Scholarships;Personal savings;Family;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",20.Nov,501-1000,1001-1500,500,three to four days a week,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral
47,6.13.22 19:18:04,6.13.22 19:22:25,anonymous,,Male,20,Living with other people,Yes,Public,Bachelor,Germany,1.7,Because I can learn more about topics that interest me;,Business,No,Music,Both;,Working;Family;Personal savings;,Yes,"To finance the nonnecessities (sociallife, party, travel);To finance necessities (Food, studies, rent);Experience for future job applications;Gain expertise and get experience in the field;",20.Nov,1001-1500,2001-2500,1000,Once or twice a week,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree
48,6.13.22 23:34:41,6.13.22 23:37:43,anonymous,,Male,18,Living with parents,Yes,Public,Bachelor,Germany,1.9,Because it is a necessity to get a good job;,Business,Yes,Business,Father;,Working;Family;Personal savings;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",21-30,1001-1500,2001-2500,1000,Once or twice a week,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral
49,6.14.22 8:36:10,6.14.22 8:41:25,anonymous,,Male,23,Living alone,Yes,Public,Bachelor,Denmark,1.3,Because I did not know what else to do;,Engineering,Yes,Diplomat,None;,SU (Statens Uddannelsesstøtte);Personal savings;,No,,,,1001-1500,1500,three to four days a week,Strongly agree,Strongly disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree
51,6.14.22 8:55:06,6.14.22 8:59:35,anonymous,,Male,23,Living with other people,Yes,Public,Master,Denmark,3.5,Because I can learn more about topics that interest me;,Law,Yes,Law,Both;,"Working;Family;Personal savings;State loan (BAFog, Student loan..);SU (Statens Uddannelsesstøtte);",Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;",21-30,1001-1500,2001-2500,1000,Once or twice a week,Agree,Disagree,Agree,Disagree,,,Neutral
52,6.14.22 9:00:25,6.14.22 9:07:37,anonymous,,Female,24,Living with other people,Yes,Public,Bachelor,Denmark,1.5,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Medicine ,No,Medicine,Both;,SU (Statens Uddannelsesstøtte);Working;Personal savings;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;",10.Jan,501-1000,1501-2000,1000,Once or twice a week,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Neutral
53,6.14.22 9:08:54,6.14.22 9:12:04,anonymous,,Female,25,Living with other people,Yes,Public,Master,Denmark,2,Because I can learn more about topics that interest me;Because it is a fun time;,Economics,No,Economics,Father;,Personal savings;SU (Statens Uddannelsesstøtte);Family;,No,,,,501-1000,750,three to four days a week,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree
